,id,product_id,name,price,quantity_stock,specification,discount,description,created_at,updated_at,category_name
10,13,3,Google Google Pixel 7 256GB/512GB/128GB Gold,632.47,48,"{'ram': '4GB', 'color': ['Gold'], 'storage': ['256GB', '512GB', '128GB']}",0.04,Google Google Pixel 7 256GB/512GB/128GB Gold with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,phone
11,14,3,Google Google Pixel 7 256GB Black/Midnight,941.48,75,"{'ram': '8GB', 'color': ['Black', 'Midnight'], 'storage': ['256GB']}",0.0,Google Google Pixel 7 256GB Black/Midnight with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,phone
12,15,3,Google Google Pixel 7 512GB/1TB/64GB Gold,1018.55,13,"{'ram': '32GB', 'color': ['Gold'], 'storage': ['512GB', '1TB', '64GB']}",0.0,Google Google Pixel 7 512GB/1TB/64GB Gold with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,phone
13,16,4,Apple MacBook Air M2 1TB/256GB/128GB Red/Silver,1836.36,95,"{'ram': '4GB', 'color': ['Red', 'Silver'], 'storage': ['1TB', '256GB', '128GB']}",8.23,Apple MacBook Air M2 1TB/256GB/128GB Red/Silver with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,laptop
14,17,4,Apple MacBook Air M2 128GB/1TB Midnight/Phantom Black,1651.74,32,"{'ram': '8GB', 'color': ['Midnight', 'Phantom Black'], 'storage': ['128GB', '1TB']}",0.0,Apple MacBook Air M2 128GB/1TB Midnight/Phantom Black with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,laptop
15,18,4,Apple MacBook Air M2 512GB/64GB/256GB White/Phantom Black,1016.83,93,"{'ram': '16GB', 'color': ['White', 'Phantom Black'], 'storage': ['512GB', '64GB', '256GB']}",101.6,Apple MacBook Air M2 512GB/64GB/256GB White/Phantom Black with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,laptop
16,19,4,Apple MacBook Air M2 1TB Green/Midnight/White,1821.53,19,"{'ram': '8GB', 'color': ['Green', 'Midnight', 'White'], 'storage': ['1TB']}",183.58,Apple MacBook Air M2 1TB Green/Midnight/White with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,laptop
17,20,4,Apple MacBook Air M2 512GB/128GB/256GB Gold,1076.7,53,"{'ram': '8GB', 'color': ['Gold'], 'storage': ['512GB', '128GB', '256GB']}",0.0,Apple MacBook Air M2 512GB/128GB/256GB Gold with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,laptop
18,22,5,Dell Dell XPS 13 256GB/512GB White,1891.11,42,"{'ram': '4GB', 'color': ['White'], 'storage': ['256GB', '512GB']}",0.0,Dell Dell XPS 13 256GB/512GB White with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,laptop
19,23,5,Dell Dell XPS 13 1TB/64GB/512GB Red/Green,1878.68,20,"{'ram': '4GB', 'color': ['Red', 'Green'], 'storage': ['1TB', '64GB', '512GB']}",154.29,Dell Dell XPS 13 1TB/64GB/512GB Red/Green with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,laptop
20,24,5,Dell Dell XPS 13 512GB/256GB/64GB Phantom Black/Gold,1231.98,60,"{'ram': '32GB', 'color': ['Phantom Black', 'Gold'], 'storage': ['512GB', '256GB', '64GB']}",0.0,Dell Dell XPS 13 512GB/256GB/64GB Phantom Black/Gold with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,laptop
21,3,1,Apple iPhone 14 128GB/1TB Gold,896.18,42,"{'ram': '4GB', 'color': ['Gold'], 'storage': ['128GB', '1TB']}",0.0,Apple iPhone 14 128GB/1TB Gold with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,phone
22,21,5,Dell Dell XPS 13 128GB/256GB/1TB Red/Green,1347.68,37,"{'ram': '32GB', 'color': ['Red', 'Green'], 'storage': ['128GB', '256GB', '1TB']}",21.43,Dell Dell XPS 13 128GB/256GB/1TB Red/Green with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,laptop
23,25,6,Lenovo Lenovo ThinkPad X1 1TB/128GB/512GB Silver/Black/White,1637.91,94,"{'ram': '4GB', 'color': ['Silver', 'Black', 'White'], 'storage': ['1TB', '128GB', '512GB']}",0.0,Lenovo Lenovo ThinkPad X1 1TB/128GB/512GB Silver/Black/White with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,laptop
24,26,6,Lenovo Lenovo ThinkPad X1 1TB Silver,1895.2,67,"{'ram': '4GB', 'color': ['Silver'], 'storage': ['1TB']}",0.0,Lenovo Lenovo ThinkPad X1 1TB Silver with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,laptop
25,27,6,Lenovo Lenovo ThinkPad X1 128GB Blue/Space Gray/Phantom Black,1816.9,77,"{'ram': '16GB', 'color': ['Blue', 'Space Gray', 'Phantom Black'], 'storage': ['128GB']}",182.67,Lenovo Lenovo ThinkPad X1 128GB Blue/Space Gray/Phantom Black with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,laptop
26,28,6,Lenovo Lenovo ThinkPad X1 1TB Blue/Space Gray,1244.39,95,"{'ram': '16GB', 'color': ['Blue', 'Space Gray'], 'storage': ['1TB']}",0.0,Lenovo Lenovo ThinkPad X1 1TB Blue/Space Gray with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,laptop
27,29,6,Lenovo Lenovo ThinkPad X1 64GB/512GB/128GB Blue,1319.62,28,"{'ram': '8GB', 'color': ['Blue'], 'storage': ['64GB', '512GB', '128GB']}",0.0,Lenovo Lenovo ThinkPad X1 64GB/512GB/128GB Blue with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,laptop
28,30,7,Sony PlayStation 5 Disc Silver/Midnight/Space Gray,323.92,34,"{'type': 'Disc', 'color': ['Silver', 'Midnight', 'Space Gray']}",40.88,Sony PlayStation 5 Disc Silver/Midnight/Space Gray with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,gamming
29,32,7,Sony PlayStation 5 Digital Blue/Silver/Midnight,343.78,70,"{'type': 'Digital', 'color': ['Blue', 'Silver', 'Midnight']}",0.0,Sony PlayStation 5 Digital Blue/Silver/Midnight with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,gamming
30,33,7,Sony PlayStation 5 Digital Silver/Red,402.48,42,"{'type': 'Digital', 'color': ['Silver', 'Red']}",0.0,Sony PlayStation 5 Digital Silver/Red with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,gamming
31,34,8,Microsoft Xbox Series X Disc Green/Red/Blue,445.65,37,"{'type': 'Disc', 'color': ['Green', 'Red', 'Blue']}",52.54,Microsoft Xbox Series X Disc Green/Red/Blue with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,gamming
32,35,8,Microsoft Xbox Series X Disc Gold/Space Gray/Red,318.36,69,"{'type': 'Disc', 'color': ['Gold', 'Space Gray', 'Red']}",0.0,Microsoft Xbox Series X Disc Gold/Space Gray/Red with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,gamming
33,36,8,Microsoft Xbox Series X Digital Black,439.72,40,"{'type': 'Digital', 'color': ['Black']}",0.0,Microsoft Xbox Series X Digital Black with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,gamming
34,37,8,Microsoft Xbox Series X Disc Space Gray,301.6,41,"{'type': 'Disc', 'color': ['Space Gray']}",0.0,Microsoft Xbox Series X Disc Space Gray with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,gamming
35,38,8,Microsoft Xbox Series X Disc Space Gray,430.32,87,"{'type': 'Disc', 'color': ['Space Gray']}",0.0,Microsoft Xbox Series X Disc Space Gray with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,gamming
36,39,9,Nintendo Nintendo Switch Digital Gold/Silver,324.33,24,"{'type': 'Digital', 'color': ['Gold', 'Silver']}",1.57,Nintendo Nintendo Switch Digital Gold/Silver with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,gamming
37,40,9,Nintendo Nintendo Switch Disc Green,317.91,35,"{'type': 'Disc', 'color': ['Green']}",0.0,Nintendo Nintendo Switch Disc Green with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,gamming
38,41,9,Nintendo Nintendo Switch Digital Space Gray,308.6,76,"{'type': 'Digital', 'color': ['Space Gray']}",0.0,Nintendo Nintendo Switch Digital Space Gray with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,gamming
39,42,9,Nintendo Nintendo Switch Disc Green/Phantom Black,398.15,63,"{'type': 'Disc', 'color': ['Green', 'Phantom Black']}",77.52,Nintendo Nintendo Switch Disc Green/Phantom Black with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,gamming
40,43,9,Nintendo Nintendo Switch Digital Red/Midnight/Phantom Black,410.97,70,"{'type': 'Digital', 'color': ['Red', 'Midnight', 'Phantom Black']}",0.0,Nintendo Nintendo Switch Digital Red/Midnight/Phantom Black with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,gamming
41,44,9,Nintendo Nintendo Switch Digital White/Silver,460.64,100,"{'type': 'Digital', 'color': ['White', 'Silver']}",10.73,Nintendo Nintendo Switch Digital White/Silver with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,gamming
42,45,10,Sony Sony WH-1000XM5 White,280.0,99,{'color': ['White']},0.0,Sony Sony WH-1000XM5 White with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,headphone
43,46,10,Sony Sony WH-1000XM5 Space Gray,241.79,31,{'color': ['Space Gray']},167.54,Sony Sony WH-1000XM5 Space Gray with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,headphone
44,48,10,Sony Sony WH-1000XM5 Midnight/Space Gray,320.89,11,"{'color': ['Midnight', 'Space Gray']}",125.48,Sony Sony WH-1000XM5 Midnight/Space Gray with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,headphone
45,49,10,Sony Sony WH-1000XM5 White,282.77,96,{'color': ['White']},0.0,Sony Sony WH-1000XM5 White with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,headphone
46,50,10,Sony Sony WH-1000XM5 Blue/Red/White,361.72,66,"{'color': ['Blue', 'Red', 'White']}",36.09,Sony Sony WH-1000XM5 Blue/Red/White with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,headphone
47,51,11,Apple AirPods Pro 2 Phantom Black,347.46,66,{'color': ['Phantom Black']},0.0,Apple AirPods Pro 2 Phantom Black with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,headphone
48,52,11,Apple AirPods Pro 2 Red/Silver,386.27,69,"{'color': ['Red', 'Silver']}",10.59,Apple AirPods Pro 2 Red/Silver with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,headphone
49,31,7,Sony PlayStation 5 Digital Silver,477.99,49,"{'type': 'Digital', 'color': ['Silver']}",0.0,Sony PlayStation 5 Digital Silver with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,gamming
50,53,11,Apple AirPods Pro 2 White,315.38,61,{'color': ['White']},47.44,Apple AirPods Pro 2 White with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,headphone
51,54,11,Apple AirPods Pro 2 Red,279.03,90,{'color': ['Red']},0.0,Apple AirPods Pro 2 Red with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,headphone
52,55,11,Apple AirPods Pro 2 Red,390.08,99,{'color': ['Red']},138.0,Apple AirPods Pro 2 Red with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,headphone
53,56,12,Bose Bose QC45 Silver/Green,218.49,79,"{'color': ['Silver', 'Green']}",0.0,Bose Bose QC45 Silver/Green with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,headphone
54,57,12,Bose Bose QC45 Silver/Green/Blue,323.81,79,"{'color': ['Silver', 'Green', 'Blue']}",102.14,Bose Bose QC45 Silver/Green/Blue with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,headphone
55,58,12,Bose Bose QC45 Blue/Red,284.84,62,"{'color': ['Blue', 'Red']}",58.33,Bose Bose QC45 Blue/Red with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,headphone
56,59,12,Bose Bose QC45 Red,225.59,98,{'color': ['Red']},72.61,Bose Bose QC45 Red with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,headphone
57,60,13,Canon Canon EOS R5 Green/White/Midnight,2367.9,48,"{'color': ['Green', 'White', 'Midnight']}",0.0,Canon Canon EOS R5 Green/White/Midnight with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,camera
58,62,13,Canon Canon EOS R5 Red/Black/Phantom Black,3007.03,93,"{'color': ['Red', 'Black', 'Phantom Black']}",0.0,Canon Canon EOS R5 Red/Black/Phantom Black with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,camera
59,63,13,Canon Canon EOS R5 White/Gold,2606.43,25,"{'color': ['White', 'Gold']}",111.72,Canon Canon EOS R5 White/Gold with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,camera
60,64,13,Canon Canon EOS R5 Phantom Black/Gold,2282.85,66,"{'color': ['Phantom Black', 'Gold']}",0.0,Canon Canon EOS R5 Phantom Black/Gold with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,camera
61,65,13,Canon Canon EOS R5 White/Blue,2484.4,49,"{'color': ['White', 'Blue']}",180.18,Canon Canon EOS R5 White/Blue with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,camera
62,66,14,Sony Sony A7 IV Red/Midnight/Space Gray,2097.48,100,"{'color': ['Red', 'Midnight', 'Space Gray']}",59.64,Sony Sony A7 IV Red/Midnight/Space Gray with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,camera
63,67,14,Sony Sony A7 IV Green/Space Gray,3160.81,58,"{'color': ['Green', 'Space Gray']}",0.0,Sony Sony A7 IV Green/Space Gray with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,camera
64,68,14,Sony Sony A7 IV Red,3754.0,63,{'color': ['Red']},120.42,Sony Sony A7 IV Red with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,camera
65,69,14,Sony Sony A7 IV Phantom Black/White/Green,3081.71,59,"{'color': ['Phantom Black', 'White', 'Green']}",164.68,Sony Sony A7 IV Phantom Black/White/Green with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,camera
66,70,14,Sony Sony A7 IV Red/Silver,3205.7,59,"{'color': ['Red', 'Silver']}",0.0,Sony Sony A7 IV Red/Silver with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,camera
67,71,15,Nikon Nikon Z9 Midnight/Black,3999.15,54,"{'color': ['Midnight', 'Black']}",0.0,Nikon Nikon Z9 Midnight/Black with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,camera
68,72,15,Nikon Nikon Z9 Green/Midnight,3745.5,25,"{'color': ['Green', 'Midnight']}",0.0,Nikon Nikon Z9 Green/Midnight with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,camera
69,73,15,Nikon Nikon Z9 Green,2111.68,17,{'color': ['Green']},49.09,Nikon Nikon Z9 Green with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,camera
70,74,15,Nikon Nikon Z9 Space Gray/Green/Silver,3985.61,51,"{'color': ['Space Gray', 'Green', 'Silver']}",98.33,Nikon Nikon Z9 Space Gray/Green/Silver with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,camera
71,75,16,Apple Apple Watch Series 9 128GB/256GB/1TB 27-inch Midnight,407.89,63,"{'size': '27-inch', 'color': ['Midnight'], 'storage': ['128GB', '256GB', '1TB']}",0.0,Apple Apple Watch Series 9 128GB/256GB/1TB 27-inch Midnight with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,smart watches
72,77,16,Apple Apple Watch Series 9 256GB/64GB/128GB 13-inch Green/Midnight/Red,305.21,96,"{'size': '13-inch', 'color': ['Green', 'Midnight', 'Red'], 'storage': ['256GB', '64GB', '128GB']}",0.0,Apple Apple Watch Series 9 256GB/64GB/128GB 13-inch Green/Midnight/Red with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,smart watches
73,78,16,Apple Apple Watch Series 9 1TB 27-inch Phantom Black/Silver/Black,312.93,15,"{'size': '27-inch', 'color': ['Phantom Black', 'Silver', 'Black'], 'storage': ['1TB']}",0.0,Apple Apple Watch Series 9 1TB 27-inch Phantom Black/Silver/Black with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,smart watches
74,79,17,Samsung Samsung Galaxy Watch 6 512GB/1TB 41mm Blue/Red/Midnight,368.35,30,"{'size': '41mm', 'color': ['Blue', 'Red', 'Midnight'], 'storage': ['512GB', '1TB']}",87.46,Samsung Samsung Galaxy Watch 6 512GB/1TB 41mm Blue/Red/Midnight with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,smart watches
75,80,17,Samsung Samsung Galaxy Watch 6 256GB/512GB 27-inch Black/Red,382.33,60,"{'size': '27-inch', 'color': ['Black', 'Red'], 'storage': ['256GB', '512GB']}",0.0,Samsung Samsung Galaxy Watch 6 256GB/512GB 27-inch Black/Red with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,smart watches
76,81,17,Samsung Samsung Galaxy Watch 6 1TB 12.9-inch White/Green,483.62,16,"{'size': '12.9-inch', 'color': ['White', 'Green'], 'storage': ['1TB']}",0.0,Samsung Samsung Galaxy Watch 6 1TB 12.9-inch White/Green with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,smart watches
77,76,16,Apple Apple Watch Series 9 128GB/1TB/512GB 41mm Red/Midnight,493.52,69,"{'size': '41mm', 'color': ['Red', 'Midnight'], 'storage': ['128GB', '1TB', '512GB']}",102.49,Apple Apple Watch Series 9 128GB/1TB/512GB 41mm Red/Midnight with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,smart watches
78,82,17,Samsung Samsung Galaxy Watch 6 1TB/256GB 45mm Silver/Red/Black,468.06,62,"{'size': '45mm', 'color': ['Silver', 'Red', 'Black'], 'storage': ['1TB', '256GB']}",8.66,Samsung Samsung Galaxy Watch 6 1TB/256GB 45mm Silver/Red/Black with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,smart watches
79,83,17,Samsung Samsung Galaxy Watch 6 64GB/1TB/128GB 27-inch Phantom Black,337.21,96,"{'size': '27-inch', 'color': ['Phantom Black'], 'storage': ['64GB', '1TB', '128GB']}",0.0,Samsung Samsung Galaxy Watch 6 64GB/1TB/128GB 27-inch Phantom Black with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,smart watches
80,84,18,Garmin Garmin Fenix 7 512GB/128GB 12.9-inch Red,443.58,48,"{'size': '12.9-inch', 'color': ['Red'], 'storage': ['512GB', '128GB']}",0.0,Garmin Garmin Fenix 7 512GB/128GB 12.9-inch Red with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,smart watches
81,85,18,Garmin Garmin Fenix 7 128GB/256GB 12.9-inch Gold/Phantom Black/Blue,427.68,100,"{'size': '12.9-inch', 'color': ['Gold', 'Phantom Black', 'Blue'], 'storage': ['128GB', '256GB']}",0.0,Garmin Garmin Fenix 7 128GB/256GB 12.9-inch Gold/Phantom Black/Blue with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,smart watches
82,86,18,Garmin Garmin Fenix 7 64GB/256GB/512GB 12.9-inch Silver/Midnight,513.78,39,"{'size': '12.9-inch', 'color': ['Silver', 'Midnight'], 'storage': ['64GB', '256GB', '512GB']}",170.86,Garmin Garmin Fenix 7 64GB/256GB/512GB 12.9-inch Silver/Midnight with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,smart watches
83,87,18,Garmin Garmin Fenix 7 1TB 13-inch Midnight/Red,446.15,100,"{'size': '13-inch', 'color': ['Midnight', 'Red'], 'storage': ['1TB']}",0.0,Garmin Garmin Fenix 7 1TB 13-inch Midnight/Red with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,smart watches
84,88,18,Garmin Garmin Fenix 7 512GB/256GB 13-inch Gold,511.44,14,"{'size': '13-inch', 'color': ['Gold'], 'storage': ['512GB', '256GB']}",16.86,Garmin Garmin Fenix 7 512GB/256GB 13-inch Gold with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,smart watches
85,89,19,Keychron Keychron K8 Red/Midnight,89.15,71,"{'color': ['Red', 'Midnight']}",0.0,Keychron Keychron K8 Red/Midnight with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,keyboard
86,90,19,Keychron Keychron K8 Midnight/Black/Green,116.65,18,"{'color': ['Midnight', 'Black', 'Green']}",0.0,Keychron Keychron K8 Midnight/Black/Green with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,keyboard
87,91,19,Keychron Keychron K8 Phantom Black/Green/Space Gray,151.26,20,"{'color': ['Phantom Black', 'Green', 'Space Gray']}",103.32,Keychron Keychron K8 Phantom Black/Green/Space Gray with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,keyboard
88,92,19,Keychron Keychron K8 Space Gray/Midnight/Red,170.0,72,"{'color': ['Space Gray', 'Midnight', 'Red']}",118.27,Keychron Keychron K8 Space Gray/Midnight/Red with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,keyboard
89,93,19,Keychron Keychron K8 Space Gray,178.48,86,{'color': ['Space Gray']},2.75,Keychron Keychron K8 Space Gray with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,keyboard
90,94,19,Keychron Keychron K8 Space Gray,111.69,80,{'color': ['Space Gray']},177.99,Keychron Keychron K8 Space Gray with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,keyboard
91,95,20,Logitech Logitech MX Keys Midnight/Black/Space Gray,117.35,22,"{'color': ['Midnight', 'Black', 'Space Gray']}",0.0,Logitech Logitech MX Keys Midnight/Black/Space Gray with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,keyboard
92,96,20,Logitech Logitech MX Keys Red,82.59,46,{'color': ['Red']},30.57,Logitech Logitech MX Keys Red with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,keyboard
93,97,20,Logitech Logitech MX Keys Green/Blue,81.29,97,"{'color': ['Green', 'Blue']}",0.0,Logitech Logitech MX Keys Green/Blue with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,keyboard
94,98,20,Logitech Logitech MX Keys Silver,135.23,81,{'color': ['Silver']},0.0,Logitech Logitech MX Keys Silver with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,keyboard
95,99,20,Logitech Logitech MX Keys Midnight,138.12,31,{'color': ['Midnight']},0.0,Logitech Logitech MX Keys Midnight with premium features and high performance.,2025-03-20 23:14:54.494199,2025-03-20 23:14:54.494199,keyboard
